iter	Passed	Remaining
409	4737	6817
410	4749	6805
411	4762	6796
412	4773	6784
413	4784	6772
414	4795	6760
415	4807	6749
416	4819	6737
417	4832	6727
418	4842	6715
419	4855	6705
420	4867	6694
421	4880	6684
422	4892	6673
423	4903	6661
424	4914	6648
425	4926	6637
426	4938	6626
427	4948	6613
428	4960	6601
429	4971	6590
430	4982	6578
431	4993	6565
432	5005	6554
433	5016	6542
434	5026	6529
435	5038	6517
436	5049	6505
437	5061	6494
438	5074	6484
439	5086	6473
440	5097	6460
441	5107	6448
442	5120	6437
443	5131	6426
444	5143	6415
445	5155	6403
446	5166	6392
447	5178	6380
448	5190	6369
449	5201	6357
450	5212	6345
451	5223	6333
452	5234	6320
453	5245	6308
454	5258	6298
455	5270	6287
456	5280	6274
457	5291	6262
458	5303	6250
459	5314	6239
460	5325	6226
461	5337	6215
462	5349	6204
463	5361	6192
464	5372	6180
465	5382	6168
466	5394	6156
467	5405	6144
468	5416	6132
469	5427	6120
470	5439	6109
471	5451	6098
472	5462	6086
473	5475	6076
474	5486	6063
475	5497	6052
476	5510	6041
477	5522	6030
478	5532	6017
479	5544	6006
480	5556	5994
481	5567	5983
482	5579	5971
483	5589	5959
484	5601	5947
485	5613	5937
486	5624	5924
487	5637	5914
488	5648	5902
489	5658	5889
490	5671	5879
491	5684	5868
492	5695	5857
493	5708	5846
494	5720	5835
495	5731	5824
496	5743	5813
497	5755	5801
498	5767	5790
499	5778	5778
500	5789	5766
501	5800	5754
502	5813	5744
503	5824	5732
504	5837	5721
505	5847	5709
506	5859	5697
507	5869	5684
508	5881	5673
509	5894	5663
510	5906	5652
511	5918	5641
512	5931	5630
513	5943	5619
514	5955	5608
515	5966	5596
516	5978	5585
517	5990	5574
518	6001	5561
519	6012	5549
520	6023	5538
521	6035	5526
522	6046	5515
523	6058	5503
524	6069	5491
525	6081	5480
526	6093	5469
527	6104	5457
528	6117	5446
529	6128	5434
530	6140	5423
531	6152	5412
532	6164	5401
533	6174	5388
534	6186	5377
535	6198	5366
536	6210	5354
537	6222	5343
538	6234	5332
539	6247	5321
540	6260	5311
541	6270	5299
542	6282	5287
543	6295	5276
544	6305	5264
545	6318	5254
546	6330	5242
547	6341	5230
548	6353	5219
549	6365	5208
550	6377	5197
551	6389	5185
552	6400	5173
553	6411	5161
554	6423	5150
555	6434	5138
556	6445	5126
557	6456	5114
558	6468	5102
559	6479	5091
560	6491	5079
561	6502	5067
562	6514	5056
563	6526	5045
564	6537	5033
565	6551	5023
566	6564	5013
567	6576	5001
568	6587	4989
569	6599	4978
570	6611	4967
571	6623	4956
572	6636	4945
573	6647	4933
574	6658	4921
575	6669	4909
576	6681	4898
577	6693	4886
578	6704	4874
579	6715	4863
580	6727	4851
581	6738	4839
582	6750	4828
583	6760	4815
584	6773	4805
585	6784	4793
586	6795	4780
587	6807	4770
588	6820	4759
589	6831	4747
590	6843	4736
591	6854	4724
592	6866	4712
593	6878	4701
594	6890	4690
595	6901	4678
596	6913	4666
597	6924	4654
598	6935	4642
599	6945	4630
600	6957	4618
601	6968	4607
602	6980	4595
603	6992	4584
604	7004	4573
605	7015	4561
606	7027	4550
607	7039	4538
608	7052	4527
609	7063	4516
610	7075	4504
611	7088	4493
612	7100	4482
613	7110	4470
614	7121	4457
615	7132	4446
616	7144	4435
617	7156	4423
618	7167	4411
619	7178	4399
620	7190	4388
621	7201	4376
622	7213	4365
623	7225	4353
624	7237	4342
625	7249	4331
626	7262	4320
627	7274	4309
628	7286	4297
629	7298	4286
630	7311	4275
631	7324	4264
632	7336	4253
633	7349	4242
634	7360	4231
635	7372	4219
636	7383	4207
637	7395	4196
638	7407	4184
639	7419	4173
640	7430	4161
641	7441	4149
642	7452	4137
643	7463	4126
644	7475	4114
645	7487	4102
646	7500	4092
647	7513	4081
648	7524	4069
649	7536	4057
650	7548	4046
651	7559	4034
652	7571	4023
653	7582	4011
654	7594	4000
655	7605	3988
656	7616	3976
657	7629	3965
658	7640	3953
659	7651	3941
660	7662	3929
661	7674	3918
662	7687	3907
663	7700	3896
664	7712	3885
665	7724	3874
666	7735	3862
667	7747	3850
668	7760	3839
669	7772	3828
670	7783	3816
671	7794	3804
672	7806	3793
673	7818	3781
674	7831	3770
675	7842	3758
676	7854	3747
677	7865	3735
678	7876	3723
679	7886	3711
680	7899	3700
681	7910	3688
682	7922	3677
683	7934	3665
684	7945	3653
685	7957	3642
686	7970	3631
687	7980	3619
688	7992	3607
689	8003	3595
690	8015	3584
691	8026	3572
692	8038	3561
693	8050	3549
694	8061	3537
695	8072	3525
696	8082	3513
697	8095	3502
698	8106	3490
699	8117	3479
700	8128	3467
701	8139	3455
702	8151	3443
703	8163	3432
704	8174	3420
705	8186	3409
706	8198	3397
707	8208	3385
708	8221	3374
709	8232	3362
710	8243	3350
711	8254	3338
712	8265	3326
713	8276	3315
714	8288	3303
715	8300	3292
716	8311	3280
717	8323	3268
718	8335	3257
719	8347	3246
720	8359	3234
721	8372	3223
722	8384	3212
723	8394	3200
724	8407	3189
725	8419	3177
726	8430	3165
727	8442	3154
728	8453	3142
729	8465	3130
730	8475	3118
731	8486	3107
732	8497	3095
733	8508	3083
734	8520	3072
735	8532	3060
736	8544	3048
737	8554	3036
738	8566	3025
739	8578	3013
740	8589	3002
741	8602	2991
742	8615	2980
743	8627	2968
744	8639	2957
745	8650	2945
746	8661	2933
747	8672	2921
748	8684	2910
749	8695	2898
750	8706	2886
751	8718	2875
752	8730	2863
753	8741	2851
754	8751	2839
755	8763	2828
756	8776	2817
757	8788	2805
758	8799	2793
759	8809	2782
760	8821	2770
761	8833	2758
762	8845	2747
763	8856	2735
764	8868	2724
765	8880	2712
766	8893	2701
767	8903	2689
768	8914	2677
769	8925	2666
770	8936	2654
771	8949	2642
772	8961	2631
773	8972	2619
774	8985	2608
775	8996	2596
776	9008	2585
777	9020	2573
778	9031	2562
779	9043	2550
780	9054	2538
781	9067	2527
782	9078	2516
783	9090	2504
784	9101	2492
785	9112	2481
786	9124	2469
787	9135	2457
788	9145	2445
789	9156	2434
790	9167	2422
791	9179	2410
792	9189	2398
793	9201	2387
794	9213	2375
795	9226	2364
796	9238	2353
797	9251	2341
798	9262	2330
799	9273	2318
800	9284	2306
801	9297	2295
802	9310	2284
803	9322	2272
804	9333	2260
805	9346	2249
806	9358	2238
807	9371	2226
808	9382	2215
809	9393	2203
810	9404	2191
811	9415	2179
812	9426	2168
813	9437	2156
814	9449	2145
815	9460	2133
816	9471	2121
817	9482	2109
818	9493	2098
819	9504	2086
820	9516	2074
821	9528	2063
822	9538	2051
823	9550	2039
824	9560	2028
825	9572	2016
826	9584	2005
827	9595	1993
828	9606	1981
829	9619	1970
830	9629	1958
831	9641	1946
832	9652	1935
833	9665	1923
834	9677	1912
835	9689	1900
836	9700	1889
837	9711	1877
838	9723	1865
839	9735	1854
840	9745	1842
841	9757	1830
842	9768	1819
843	9779	1807
844	9792	1796
845	9804	1784
846	9815	1772
847	9826	1761
848	9837	1749
849	9848	1738
850	9858	1726
851	9870	1714
852	9883	1703
853	9895	1691
854	9907	1680
855	9918	1668
856	9929	1656
857	9940	1645
858	9951	1633
859	9962	1621
860	9973	1610
861	9985	1598
862	9996	1586
863	10007	1575
864	10018	1563
865	10030	1552
866	10042	1540
867	10054	1528
868	10065	1517
869	10077	1505
870	10089	1494
871	10100	1482
872	10112	1471
873	10123	1459
874	10134	1447
