iter	RMSE
435	18.77526664
436	18.74230039
437	18.70903596
438	18.67982398
439	18.65928715
440	18.64439533
441	18.63933878
442	18.61696937
443	18.61260916
444	18.59345427
445	18.58927724
446	18.56046856
447	18.54211706
448	18.52399146
449	18.51306882
450	18.49282539
451	18.47329636
452	18.46351147
453	18.43784115
454	18.41853932
455	18.41324351
456	18.40030126
457	18.39262764
458	18.38063573
459	18.35642366
460	18.34398463
461	18.31736357
462	18.29983416
463	18.29023197
464	18.27783972
465	18.267178
466	18.26329059
467	18.24276617
468	18.23899004
469	18.22092459
470	18.18907426
471	18.16264388
472	18.15337528
473	18.12835169
474	18.12113259
475	18.10051018
476	18.07412058
477	18.05060049
478	18.04559186
479	18.0261328
480	18.01559337
481	17.99728433
482	17.97172528
483	17.96157347
484	17.9527395
485	17.93102073
486	17.92515188
487	17.90867357
488	17.90492616
489	17.8936459
490	17.86306115
491	17.8428829
492	17.82541419
493	17.80355687
494	17.7807236
495	17.77145314
496	17.75301338
497	17.73062919
498	17.71383614
499	17.69701985
500	17.68529491
501	17.68012641
502	17.65499039
503	17.63697556
504	17.62031027
505	17.60905919
506	17.59363849
507	17.58287664
508	17.56169083
509	17.54506606
510	17.52586653
511	17.50961555
512	17.48717108
513	17.47868785
514	17.45686591
515	17.45337867
516	17.43326781
517	17.42603213
518	17.41656921
519	17.40641525
520	17.39621654
521	17.37627208
522	17.36707873
523	17.35485381
524	17.3410619
525	17.31642034
526	17.29974521
527	17.29520576
528	17.27499138
529	17.25737581
530	17.22735586
531	17.21346113
532	17.18598204
533	17.17177584
534	17.15332032
535	17.13288936
536	17.11494953
537	17.09067907
538	17.07731822
539	17.0594514
540	17.04042571
541	17.03103082
542	17.01802963
543	16.99805936
544	16.99075993
545	16.975464
546	16.96304996
547	16.94466347
548	16.92972559
549	16.90846606
550	16.89397679
551	16.87197607
552	16.86278348
553	16.84393863
554	16.83512126
555	16.81903524
556	16.80770862
557	16.79656207
558	16.79304334
559	16.78959735
560	16.7752651
561	16.76309589
562	16.74937881
563	16.73878244
564	16.73215168
565	16.71103464
566	16.69684078
567	16.68638748
568	16.67961715
569	16.66204348
570	16.6547407
571	16.64174509
572	16.62172802
573	16.60147388
574	16.59515826
575	16.57657485
576	16.55276709
577	16.53777194
578	16.52953732
579	16.51757181
580	16.50263391
581	16.489605
582	16.48529348
583	16.47666435
584	16.46156276
585	16.45452097
586	16.44751286
587	16.42893123
588	16.41089584
589	16.39055304
590	16.37533678
591	16.36640479
592	16.34866982
593	16.34092259
594	16.33451462
595	16.32286798
596	16.30993933
597	16.29277913
598	16.27733177
599	16.26926648
600	16.26514371
601	16.24954048
602	16.24621727
603	16.22767796
604	16.20629199
605	16.19315931
606	16.1766171
607	16.15739756
608	16.13467407
609	16.11432947
610	16.10439314
611	16.08651947
612	16.0697892
613	16.06413363
614	16.05256107
615	16.03996482
616	16.03039055
617	16.01657863
618	16.00861135
619	15.99575459
620	15.98254143
621	15.97943086
622	15.97223705
623	15.95446359
624	15.94908593
625	15.93367205
626	15.92106053
627	15.91022819
628	15.89501007
629	15.8825337
630	15.86980275
631	15.85505831
632	15.83359921
633	15.82252808
634	15.81055648
635	15.79038604
636	15.78743353
637	15.77878033
638	15.77338809
639	15.76025912
640	15.74687172
641	15.73858931
642	15.72391138
643	15.71625111
644	15.70640031
645	15.68539225
646	15.66534346
647	15.64903593
648	15.64450593
649	15.63346626
650	15.62288118
651	15.61322458
652	15.60330947
653	15.59010771
654	15.57880863
655	15.57181775
656	15.56331561
657	15.54714811
658	15.53795413
659	15.52342765
660	15.51296413
661	15.50024863
662	15.48287224
663	15.46643104
664	15.45902528
665	15.45295086
666	15.44320872
667	15.43659693
668	15.42143888
669	15.40812688
670	15.39260631
671	15.38704911
672	15.37380809
673	15.36156884
674	15.34832527
675	15.33881777
676	15.32875086
677	15.32223636
678	15.31741372
679	15.31185356
680	15.28961681
681	15.28325728
682	15.26418958
683	15.25618288
684	15.24265044
685	15.23481787
686	15.21846142
687	15.2093746
688	15.20235236
689	15.1873003
690	15.17733146
691	15.16589615
692	15.1535091
693	15.13947629
694	15.13291188
695	15.12048005
696	15.11310596
697	15.10039735
698	15.0829677
699	15.06756502
700	15.05793126
701	15.04935897
702	15.03598344
703	15.02046147
704	15.011896
705	15.0031966
706	14.99277079
707	14.98541313
708	14.96656236
709	14.95870119
710	14.95216762
711	14.94438795
712	14.93723926
713	14.924052
714	14.9122413
715	14.89716952
716	14.8943576
717	14.88664445
718	14.87257512
719	14.85156016
720	14.83984333
721	14.8245288
722	14.81106953
723	14.80347838
724	14.78893865
725	14.77360416
726	14.76646758
727	14.75309894
728	14.74695909
729	14.7440746
730	14.73783452
731	14.73178164
732	14.72696586
733	14.72113312
734	14.70524883
735	14.6949393
736	14.68715414
737	14.68123977
738	14.66924048
739	14.6629575
740	14.66012434
741	14.6468159
742	14.63396996
743	14.62762863
744	14.61232014
745	14.60570246
746	14.59278759
747	14.58544663
748	14.57188826
749	14.56596499
750	14.56188365
751	14.54422702
752	14.53893153
753	14.53035338
754	14.52591735
755	14.5145249
756	14.50190151
757	14.49228546
758	14.48156076
759	14.47387583
760	14.46040946
761	14.44649529
762	14.43867066
763	14.43381372
764	14.43122966
765	14.42166299
766	14.40981118
767	14.40138197
768	14.39054492
769	14.37752517
770	14.3705729
771	14.35857581
772	14.34837431
773	14.33535792
774	14.32284404
775	14.31479762
776	14.30593502
777	14.29696477
778	14.27984218
779	14.27078891
780	14.26013571
781	14.2492811
782	14.23682255
783	14.22690056
784	14.22093996
785	14.20962302
786	14.20246581
787	14.19544377
788	14.18976826
789	14.18425895
790	14.17900944
791	14.16747478
792	14.16328684
793	14.15621146
794	14.14232225
795	14.13046548
796	14.1176977
797	14.10149709
798	14.08998773
799	14.08209056
800	14.07639096
801	14.06581256
802	14.05354198
803	14.0435423
804	14.03649428
805	14.02512516
806	14.01436024
807	14.00472849
808	13.9966763
809	13.9857216
810	13.97229997
811	13.96036446
812	13.95362609
813	13.94739751
814	13.93810481
815	13.93318084
816	13.92695841
817	13.91989018
818	13.91256444
819	13.90784715
820	13.90164435
821	13.88892113
822	13.88524714
823	13.87385327
824	13.86829251
825	13.86108302
826	13.85092748
827	13.84484257
828	13.83408631
829	13.8225189
830	13.81195955
831	13.80378483
832	13.79809959
833	13.78968163
834	13.77997171
835	13.77409345
836	13.76870045
837	13.7632419
838	13.74919989
839	13.74299533
840	13.73637143
841	13.7292149
842	13.72274094
843	13.71035584
844	13.69785074
845	13.69271866
846	13.68879236
847	13.67138648
848	13.66440476
849	13.65837163
850	13.65503028
851	13.64556113
852	13.63455301
853	13.62563909
854	13.61596164
855	13.6115812
856	13.6046794
857	13.59618341
858	13.58534992
859	13.57914248
860	13.56802517
861	13.55877646
862	13.55443487
863	13.54750401
864	13.54188548
865	13.53508997
866	13.52409676
867	13.51771159
868	13.5138568
869	13.50284334
870	13.49207097
871	13.48591821
872	13.47751532
873	13.46634566
874	13.4622869
875	13.45531932
876	13.44663362
877	13.44237312
878	13.43400629
879	13.42612826
880	13.42053356
881	13.40932189
882	13.4040823
883	13.39468305
884	13.38073121
885	13.37576171
886	13.36778708
887	13.36129115
888	13.34898
889	13.34106591
890	13.33707028
891	13.32757761
892	13.31756394
893	13.30927977
894	13.30332258
895	13.29052729
896	13.28258375
897	13.27369045
898	13.26813497
899	13.26127974
900	13.25482168
901	13.25162239
902	13.23971768
903	13.23394814
904	13.22777967
905	13.21736657
906	13.20915681
907	13.19627047
908	13.18542454
909	13.17431705
910	13.17127551
911	13.16062857
912	13.14692371
913	13.14008472
914	13.13676925
915	13.12340011
916	13.11343532
917	13.10390469
918	13.10009044
919	13.08971048
920	13.08158539
921	13.07672416
922	13.07278054
923	13.06478484
924	13.05904709
925	13.05032403
926	13.04262815
927	13.03805706
928	13.03266728
929	13.02825319
930	13.02052768
931	13.01073629
932	12.99861511
933	12.99059431
934	12.98477478
935	12.97734392
936	12.96791212
937	12.95344124
938	12.94830699
939	12.93693703
940	12.92614813
941	12.91801085
942	12.91360871
943	12.90112309
944	12.89075353
945	12.8869853
946	12.87965768
947	12.86547381
948	12.85949048
949	12.85119752
950	12.84107251
951	12.82955912
952	12.81725061
953	12.80528629
954	12.79714126
955	12.79264039
956	12.77827827
957	12.77236791
958	12.76639481
959	12.75859274
960	12.74886602
961	12.73976611
962	12.73161212
963	12.72269428
964	12.7153252
965	12.71056138
966	12.70601589
967	12.70107205
968	12.6935064
969	12.68517242
970	12.67187097
971	12.6649111
972	12.65873523
973	12.65040695
974	12.64334006
975	12.63477237
976	12.62447982
977	12.61676562
978	12.61270149
979	12.60404629
980	12.5950201
981	12.58675812
982	12.5768312
983	12.56697405
984	12.55879187
985	12.55160514
986	12.54532977
987	12.53659478
988	12.5255246
989	12.51917066
990	12.51283601
991	12.50765352
992	12.50272958
993	12.49435273
994	12.48805911
995	12.48092647
996	12.47471005
997	12.47035973
998	12.46433642
999	12.45976081
